Date,Open,High,Low,Close
1999-06-07,676.75,684.2,672.9,676.65
1999-06-08,676.65,694.7,669.15,692.55
1999-06-09,692.55,696.65,688.85,689.55
1999-06-10,689.6,696.7,689.6,691.6
1999-06-11,691.7,691.8,677.5,678.95
1999-06-14,678.8,678.8,655.7,663.7
1999-06-15,663.8,668.75,652.5,654.05
1999-06-16,654.15,663.2,648.0,662.15
1999-06-17,662.4,669.8,662.4,665.65
1999-06-18,665.65,668.8,662.45,664.15
1999-06-21,664.2,677.85,664.2,677.6
1999-06-22,677.5,688.55,677.5,688.5
1999-06-23,688.55,696.6,688.55,690.15
1999-06-24,690.35,690.75,680.45,684.1
1999-06-25,684.7,689.75,680.35,682.25
1999-06-28,682.6,693.3,682.6,691.8
1999-06-29,691.85,696.15,688.7,693.45
1999-06-30,693.65,695.15,686.95,692.15
1999-07-01,691.8,695.05,683.5,685.5
1999-07-02,685.55,692.05,685.55,690.55
1999-07-05,690.95,711.1,690.95,710.4
1999-07-06,710.5,721.3,710.5,720.75
1999-07-07,720.9,733.05,720.9,726.35
1999-07-08,726.3,730.9,724.0,727.6
1999-07-09,727.7,743.2,727.7,741.65
1999-07-12,741.7,773.45,741.7,772.3
1999-07-13,772.45,780.5,760.7,763.6
1999-07-14,766.5,779.45,766.5,779.25
1999-07-15,776.6,783.7,756.5,759.3
1999-07-16,759.35,766.0,753.8,764.2
1999-07-19,764.3,786.55,764.3,783.3
1999-07-20,783.25,785.6,764.1,768.85
1999-07-21,769.0,796.0,766.95,793.65
1999-07-22,794.15,810.35,790.0,793.9
1999-07-23,793.95,796.1,785.4,789.2
1999-07-26,789.7,789.7,781.9,784.85
1999-07-27,785.25,785.85,771.45,777.8
1999-07-28,778.05,796.55,778.05,791.05
1999-07-29,791.3,793.85,781.05,783.55
1999-07-30,783.55,783.7,773.85,778.1
1999-08-02,778.15,778.15,761.8,764.45
1999-08-03,764.5,765.0,758.45,765.0
1999-08-04,765.25,792.6,765.25,791.7
1999-08-05,791.9,802.2,787.8,790.85
1999-08-06,791.1,800.85,790.05,800.25
1999-08-09,800.6,814.7,800.55,811.55
1999-08-10,810.65,813.95,801.3,813.95
1999-08-11,812.0,830.55,807.55,823.25
1999-08-12,823.3,835.2,823.3,828.0
1999-08-13,828.15,833.75,825.6,827.95
1999-08-16,827.6,851.15,827.6,848.75
1999-08-17,848.85,871.3,848.85,871.0
1999-08-18,871.35,902.4,871.35,894.55
1999-08-19,895.1,906.5,871.6,874.95
1999-08-20,875.15,888.45,866.8,888.4
1999-08-23,888.7,911.8,888.7,909.25
1999-08-24,909.85,917.55,908.65,917.45
1999-08-25,917.75,932.65,882.65,901.05
1999-08-26,901.15,920.4,901.15,916.7
1999-08-27,916.8,927.85,916.8,922.65
1999-08-30,922.7,930.0,915.1,915.3
1999-08-31,915.55,916.95,903.15,907.75
1999-09-01,907.7,919.6,898.05,902.45
1999-09-02,901.2,901.3,880.8,881.9
1999-09-03,880.75,889.55,879.6,882.6
1999-09-06,882.6,895.15,882.25,894.65
1999-09-07,895.35,904.1,895.35,897.95
1999-09-08,898.25,920.1,898.25,914.55
1999-09-09,914.75,922.85,911.55,913.0
1999-09-10,912.85,916.5,907.15,912.1
1999-09-14,912.3,920.7,909.25,913.75
1999-09-15,913.9,927.9,913.9,914.2
1999-09-16,914.2,917.55,898.7,901.95
1999-09-17,901.85,914.4,892.7,912.05
1999-09-20,912.3,922.05,909.15,909.65
1999-09-21,909.65,912.15,899.95,905.45
1999-09-22,905.3,937.4,905.3,930.85
1999-09-23,931.0,948.7,931.0,946.55
1999-09-24,946.4,956.25,945.5,953.5
1999-09-27,956.1,967.4,942.9,943.25
1999-09-28,942.8,942.8,925.45,934.55
1999-09-29,935.0,966.0,935.0,963.6
1999-09-30,963.85,974.8,950.8,952.5
1999-10-01,951.8,952.8,927.1,939.4
1999-10-04,939.6,942.25,912.55,912.85
1999-10-05,912.35,915.8,899.95,915.75
1999-10-06,916.1,950.25,915.85,933.1
1999-10-07,933.45,979.75,933.45,978.25
1999-10-08,978.3,999.8,978.3,994.85
1999-10-11,995.2,1016.85,995.2,1002.3
1999-10-12,1002.6,1015.9,998.8,1013.6
1999-10-13,1013.7,1041.05,1006.8,1032.9
1999-10-14,1033.45,1057.5,1033.45,1037.2
1999-10-15,1037.15,1041.55,989.4,990.2
1999-10-18,990.2,1007.05,978.95,998.3
1999-10-20,998.75,1044.65,998.75,1036.7
1999-10-21,1036.35,1049.9,1009.7,1011.2
1999-10-22,1011.1,1011.1,988.55,1005.6
1999-10-23,1005.5,1015.65,1004.45,1015.6
1999-10-25,1015.6,1016.65,975.2,979.55
1999-10-26,979.3,979.3,960.8,976.6
1999-10-27,976.55,991.35,962.9,968.0
1999-10-28,967.25,967.25,929.3,930.6
1999-10-29,930.85,933.05,881.6,894.7
1999-11-01,894.85,897.0,839.15,840.6
1999-11-02,840.6,878.85,804.9,878.85
1999-11-03,879.1,894.25,854.25,864.5
1999-11-04,864.55,872.8,853.4,872.25
1999-11-05,872.6,894.75,872.6,892.05
1999-11-07,892.05,909.4,892.05,901.5
1999-11-09,901.65,912.85,886.8,912.8
1999-11-10,913.45,939.3,913.45,937.2
1999-11-11,937.75,941.45,922.5,922.75
1999-11-12,922.9,925.8,914.2,925.6
1999-11-15,925.8,930.15,921.4,922.7
1999-11-16,921.6,922.35,914.6,921.45
1999-11-17,921.35,935.35,912.75,913.1
1999-11-18,913.8,915.1,896.55,907.05
1999-11-19,907.2,916.8,907.2,912.25
1999-11-22,912.5,919.55,908.05,919.4
1999-11-24,919.6,947.5,919.6,935.85
1999-11-25,935.8,946.35,934.85,942.4
1999-11-26,942.55,956.6,942.55,954.75
1999-11-29,954.85,974.95,954.85,973.05
1999-11-30,973.1,986.75,973.1,986.55
1999-12-01,999.15,1013.55,990.2,990.25
1999-12-02,990.95,1011.4,990.85,1006.3
1999-12-03,1006.8,1025.25,1006.8,1020.2
1999-12-06,1020.4,1056.85,1020.4,1056.8
1999-12-07,1056.9,1085.7,1056.9,1081.5
1999-12-08,1082.15,1114.0,1055.7,1070.55
1999-12-09,1071.55,1085.3,1063.0,1085.0
1999-12-10,1085.2,1099.65,1085.2,1094.5
1999-12-13,1095.6,1116.75,1093.75,1098.25
1999-12-14,1098.65,1107.4,1089.25,1092.5
1999-12-15,1091.55,1096.6,1070.35,1085.55
