Date,Open,High,Low,Close,SharesTraded,Turnover
1995-01-02,,,,1000.0,,
1995-01-03,,,,1039.85,,
1995-01-04,,,,1032.96,,
1995-01-05,,,,1026.05,,
1995-01-06,,,,1011.17,,
1995-01-09,,,,1001.17,,
1995-01-10,,,,982.12,,
1995-01-11,,,,982.12,,
1995-01-12,,,,984.33,,
1995-01-13,,,,984.33,,
1995-01-16,,,,1001.57,,
1995-01-17,,,,1011.83,,
1995-01-18,,,,1015.05,,
1995-01-19,,,,1019.87,,
1995-01-20,,,,1018.34,,
1995-01-23,,,,996.46,,
1995-01-24,,,,980.93,,
1995-01-25,,,,986.37,,
1995-01-27,,,,997.24,,
1995-01-30,,,,1019.51,,
1995-01-31,,,,1032.36,,
1995-02-01,,,,1041.96,,
1995-02-02,,,,1047.55,,
1995-02-03,,,,1054.81,,
1995-02-06,,,,1047.74,,
1995-02-07,,,,1038.15,,
1995-02-08,,,,1032.27,,
1995-02-09,,,,1021.25,,
1995-02-10,,,,1016.14,,
1995-02-13,,,,1010.93,,
1995-02-14,,,,1009.97,,
1995-02-15,,,,1006.32,,
1995-02-16,,,,985.54,,
1995-02-17,,,,976.72,,
1995-02-20,,,,968.63,,
1995-02-21,,,,956.05,,
1995-02-22,,,,944.7,,
1995-02-23,,,,970.29,,
1995-02-24,,,,994.39,,
1995-02-28,,,,996.79,,
1995-03-01,,,,1000.34,,
1995-03-02,,,,1007.89,,
1995-03-03,,,,1010.06,,
1995-03-06,,,,1005.77,,
1995-03-07,,,,1003.75,,
1995-03-08,,,,990.62,,
1995-03-09,,,,988.66,,
1995-03-10,,,,999.91,,
1995-03-13,,,,986.96,,
1995-03-14,,,,995.18,,
1995-03-15,,,,1002.74,,
1995-03-16,,,,994.21,,
1995-03-23,,,,971.25,,
1995-03-24,,,,967.25,,
1995-03-27,,,,971.87,,
1995-03-28,,,,974.47,,
1995-03-29,,,,972.87,,
1995-03-30,,,,971.82,,
1995-03-31,,,,967.5,,
1995-04-03,,,,970.67,,
1995-04-04,,,,977.84,,
1995-04-05,,,,987.89,,
1995-04-06,,,,993.71,,
