Date,Close
2005-01-03,1000.0
2005-01-04,997.53
2005-01-05,965.24
2005-01-06,950.04
2005-01-07,963.5
2005-01-10,961.73
2005-01-11,941.68
2005-01-12,915.25
2005-01-13,937.34
2005-01-14,930.03
2005-01-17,924.86
2005-01-18,932.93
2005-01-19,928.31
2005-01-20,919.61
2005-01-24,913.39
2005-01-25,918.34
2005-01-27,932.09
2005-01-28,949.52
2005-01-31,968.65
2005-02-01,973.53
2005-02-02,973.64
2005-02-03,990.78
2005-02-04,992.37
2005-02-07,986.78
2005-02-08,988.52
2005-02-09,1000.94
2005-02-10,998.05
2005-02-11,1003.63
2005-02-14,1008.62
2005-02-15,1001.87
2005-02-16,994.23
2005-02-17,993.25
2005-02-18,991.02
2005-02-21,983.38
2005-02-22,985.65
2005-02-23,985.11
2005-02-24,983.47
2005-02-25,978.34
2005-02-28,991.33
2005-03-01,987.8
2005-03-02,995.46
2005-03-03,1005.44
2005-03-04,1008.43
2005-03-07,1009.1
2005-03-08,1022.62
2005-03-09,1012.5
2005-03-10,1012.77
2005-03-11,1006.76
2005-03-14,999.78
2005-03-15,991.13
2005-03-16,990.59
2005-03-17,978.71
2005-03-18,974.06
2005-03-21,968.72
2005-03-22,950.45
2005-03-23,940.01
2005-03-24,931.04
2005-03-28,942.44
2005-03-29,924.5
2005-03-30,932.72
2005-03-31,952.34
2005-04-01,972.41
2005-04-04,977.24
2005-04-05,975.32
2005-04-06,983.8
2005-04-07,983.86
2005-04-08,974.58
2005-04-11,966.57
2005-04-12,974.09
2005-04-13,975.66
2005-04-15,951.19
2005-04-18,939.7
2005-04-19,934.57
2005-04-20,939.56
2005-04-21,948.8
2005-04-22,955.83
2005-04-25,959.47
2005-04-26,960.2
2005-04-27,950.37
2005-04-28,952.52
2005-04-29,935.85
2005-05-02,936.98
2005-05-03,939.55
2005-05-04,952.39
2005-05-05,960.83
2005-05-06,965.06
2005-05-09,975.66
2005-05-10,975.45
2005-05-11,979.28
2005-05-12,985.58
2005-05-13,986.95
2005-05-16,995.42
2005-05-17,986.82
2005-05-18,986.62
2005-05-19,992.73
2005-05-20,994.34
2005-05-23,1001.54
2005-05-24,1004.16
2005-05-25,1009.15
2005-05-26,1012.76
2005-05-27,1014.6
2005-05-30,1010.37
2005-05-31,1018.01
2005-06-01,1023.92
2005-06-02,1017.25
2005-06-03,1024.43
2005-06-04,1030.8
2005-06-06,1030.43
2005-06-07,1041.82
2005-06-08,1047.05
2005-06-09,1047.42
2005-06-10,1042.72
2005-06-13,1045.38
2005-06-14,1050.9
2005-06-15,1056.78
2005-06-16,1046.47
2005-06-17,1042.98
2005-06-20,1045.27
2005-06-21,1050.58
2005-06-22,1053.17
2005-06-23,1054.11
2005-06-24,1063.12
2005-06-27,1060.07
2005-06-28,1044.73
2005-06-29,1055.48
2005-06-30,1059.17
2005-07-01,1069.77
2005-07-04,1090.77
2005-07-05,1083.62
2005-07-06,1097.68
2005-07-07,1079.58
2005-07-08,1094.32
2005-07-11,1113.92
2005-07-12,1114.44
2005-07-13,1109.39
2005-07-14,1107.37
2005-07-15,1122.43
2005-07-18,1138.49
2005-07-19,1137.6
2005-07-20,1135.69
2005-07-21,1128.11
2005-07-22,1143.95
2005-07-25,1143.33
2005-07-26,1146.69
2005-07-27,1153.86
2005-07-29,1145.2
2005-08-01,1155.21
2005-08-02,1173.76
2005-08-03,1178.54
2005-08-04,1183.46
2005-08-05,1189.6
2005-08-08,1174.63
2005-08-09,1169.75
2005-08-10,1188.4
2005-08-11,1200.77
2005-08-12,1200.09
2005-08-16,1210.56
2005-08-17,1223.56
2005-08-18,1219.2
2005-08-19,1217.58
2005-08-22,1216.27
2005-08-23,1193.62
2005-08-24,1188.09
2005-08-25,1194.28
2005-08-26,1208.15
2005-08-29,1204.01
2005-08-30,1222.78
2005-08-31,1236.98
2005-09-01,1246.38
2005-09-02,1252.17
2005-09-05,1256.67
2005-09-06,1259.38
2005-09-08,1272.22
2005-09-09,1270.75
2005-09-12,1281.89
2005-09-13,1289.56
2005-09-14,1281.28
2005-09-15,1299.48
2005-09-16,1310.46
2005-09-19,1316.77
2005-09-20,1329.84
2005-09-21,1311.53
2005-09-22,1247.78
2005-09-23,1259.42
2005-09-26,1299.53
2005-09-27,1306.11
2005-09-28,1314.07
2005-09-29,1309.38
2005-09-30,1305.07
2005-10-03,1323.01
2005-10-04,1342.8
2005-10-05,1335.09
2005-10-06,1317.71
2005-10-07,1317.89
2005-10-10,1310.67
2005-10-11,1312.18
2005-10-13,1294.3
2005-10-14,1269.14
2005-10-17,1248.14
2005-10-18,1240.9
2005-10-19,1213.11
2005-10-20,1201.19
2005-10-21,1222.27
2005-10-24,1212.45
2005-10-25,1214.19
2005-10-26,1210.15
2005-10-27,1184.63
2005-10-28,1168.15
2005-10-31,1189.15
2005-11-01,1198.84
2005-11-02,1209.16
2005-11-07,1232.18
2005-11-08,1250.56
2005-11-09,1246.94
2005-11-10,1257.79
2005-11-11,1279.56
2005-11-14,1280.72
2005-11-16,1290.2
2005-11-17,1297.31
2005-11-18,1297.96
2005-11-21,1291.05
2005-11-22,1281.12
2005-11-23,1289.92
2005-11-24,1300.78
2005-11-25,1318.52
2005-11-26,1327.15
2005-11-28,1333.22
2005-11-29,1329.45
2005-11-30,1315.85
2005-12-01,1336.93
2005-12-02,1340.84
2005-12-05,1328.42
2005-12-06,1324.57
2005-12-07,1336.42
2005-12-08,1336.68
2005-12-09,1354.92
2005-12-12,1358.69
2005-12-13,1368.31
2005-12-14,1372.42
2005-12-15,1358.37
2005-12-16,1371.04
2005-12-19,1390.78
2005-12-20,1380.86
2005-12-21,1380.12
2005-12-22,1383.31
2005-12-23,1370.63
2005-12-26,1339.5
2005-12-27,1363.78
2005-12-28,1360.35
2005-12-29,1367.9
2005-12-30,1381.61
2006-01-02,1391.32
2006-01-03,1411.79
2006-01-04,1422.0
2006-01-05,1425.47
2006-01-06,1434.21
2006-01-09,1438.03
2006-01-10,1420.63
2006-01-12,1413.42
2006-01-13,1410.5
2006-01-16,1404.79
2006-01-17,1391.31
2006-01-18,1389.31
2006-01-19,1415.68
2006-01-20,1430.81
2006-01-23,1420.95
2006-01-24,1430.92
2006-01-25,1436.84
2006-01-27,1451.7
2006-01-30,1442.73
2006-01-31,1447.2
2006-02-01,1431.3
2006-02-02,1434.43
