Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2006-04-25,,,,0.28,,
2006-04-26,,,,0.28,,
2006-04-27,,,,0.28,,
2006-04-28,,,,1.45,,
2006-04-29,,,,1.45,,
2006-05-02,,,,1.45,,
2006-05-03,,,,1.45,,
2006-05-04,,,,1.74,,
2006-05-05,,,,1.74,,
2006-05-08,,,,1.74,,
2006-05-09,,,,1.74,,
2006-05-10,,,,1.74,,
2006-05-11,,,,2.11,,
2006-05-12,,,,2.18,,
2006-05-15,,,,2.18,,
2006-05-16,,,,2.18,,
2006-05-17,,,,2.18,,
2006-05-18,,,,2.48,,
2006-05-19,,,,2.48,,
2006-05-22,,,,2.48,,
2006-05-23,,,,2.48,,
2006-05-24,,,,2.48,,
2006-05-25,,,,4.91,,
2006-05-26,,,,6.44,,
2006-05-29,,,,6.44,,
2006-05-30,,,,6.44,,
2006-05-31,,,,6.44,,
2006-06-01,,,,9.66,,
2006-06-02,,,,9.66,,
2006-06-05,,,,9.66,,
2006-06-06,,,,9.66,,
2006-06-07,,,,9.66,,
2006-06-08,,,,9.66,,
2006-06-09,,,,9.66,,
2006-06-12,,,,9.66,,
2006-06-13,,,,9.66,,
2006-06-14,,,,9.66,,
2006-06-15,,,,10.14,,
2006-06-16,,,,10.61,,
2006-06-19,,,,12.18,,
2006-06-20,,,,12.18,,
2006-06-21,,,,12.31,,
2006-06-22,,,,12.71,,
2006-06-23,,,,13.77,,
2006-06-25,,,,13.77,,
2006-06-26,,,,13.77,,
2006-06-27,,,,13.77,,
2006-06-28,,,,13.77,,
2006-06-29,,,,16.63,,
2006-06-30,,,,17.67,,
2006-07-03,,,,17.67,,
2006-07-04,,,,17.67,,
2006-07-05,,,,17.67,,
2006-07-06,,,,19.41,,
2006-07-07,,,,19.84,,
2006-07-10,,,,21.92,,
2006-07-11,,,,21.92,,
2006-07-12,,,,21.92,,
2006-07-13,,,,21.92,,
2006-07-14,,,,22.46,,
2006-07-17,,,,22.46,,
2006-07-18,,,,22.46,,
2006-07-19,,,,22.46,,
2006-07-20,,,,22.46,,
2006-07-21,,,,22.6,,
2006-07-24,,,,22.6,,
2006-07-25,,,,22.6,,
2006-07-26,,,,22.6,,
2006-07-27,,,,22.6,,
2006-07-28,,,,23.26,,
2006-07-31,,,,23.26,,
2006-08-01,,,,23.26,,
2006-08-02,,,,23.26,,
2006-08-03,,,,23.26,,
2006-08-04,,,,23.26,,
2006-08-07,,,,23.26,,
2006-08-08,,,,24.64,,
2006-08-09,,,,25.02,,
2006-08-10,,,,25.67,,
2006-08-11,,,,26.28,,
2006-08-14,,,,27.76,,
2006-08-16,,,,27.76,,
2006-08-17,,,,27.76,,
2006-08-18,,,,28.3,,
2006-08-21,,,,28.3,,
2006-08-22,,,,28.3,,
2006-08-23,,,,28.51,,
2006-08-24,,,,28.51,,
2006-08-25,,,,28.51,,
2006-08-28,,,,28.51,,
2006-08-29,,,,28.51,,
2006-08-30,,,,28.51,,
2006-08-31,,,,28.51,,
2006-09-01,,,,28.61,,
2006-09-04,,,,28.61,,
2006-09-05,,,,28.61,,
2006-09-06,,,,34.67,,
2006-09-07,,,,34.77,,
2006-09-08,,,,34.77,,
2006-09-11,,,,34.77,,
2006-09-12,,,,34.77,,
2006-09-13,,,,34.77,,
2006-09-14,,,,34.77,,
2006-09-15,,,,34.77,,
2006-09-18,,,,34.9,,
2006-09-19,,,,34.9,,
2006-09-20,,,,34.9,,
2006-09-21,,,,34.9,,
2006-09-22,,,,35.3,,
2006-09-25,,,,35.3,,
2006-09-26,,,,35.3,,
2006-09-27,,,,35.3,,
2006-09-28,,,,35.3,,
2006-09-29,,,,35.3,,
2006-10-03,,,,35.3,,
2006-10-04,,,,35.3,,
2006-10-05,,,,35.3,,
2006-10-06,,,,35.3,,
2006-10-09,,,,35.3,,
2006-10-10,,,,35.3,,
2006-10-11,,,,35.3,,
2006-10-12,,,,35.3,,
2006-10-13,,,,35.3,,
2006-10-16,,,,35.3,,
2006-10-17,,,,35.3,,
2006-10-18,,,,35.3,,
2006-10-19,,,,35.86,,
2006-10-20,,,,36.12,,
2006-10-21,,,,36.12,,
2006-10-23,,,,36.71,,
2006-10-26,,,,36.71,,
2006-10-27,,,,36.71,,
2006-10-30,,,,36.71,,
2006-10-31,,,,36.71,,
2006-11-01,,,,36.71,,
2006-11-02,,,,37.3,,
2006-11-03,,,,37.42,,
2006-11-06,,,,37.42,,
2006-11-07,,,,37.42,,
2006-11-08,,,,37.42,,
2006-11-09,,,,37.55,,
2006-11-10,,,,37.55,,
2006-11-13,,,,37.55,,
2006-11-14,,,,37.55,,
2006-11-15,,,,37.7,,
2006-11-16,,,,37.7,,
2006-11-17,,,,37.7,,
2006-11-20,,,,37.7,,
2006-11-21,,,,37.7,,
2006-11-22,,,,37.7,,
2006-11-23,,,,37.7,,
2006-11-24,,,,37.7,,
2006-11-27,,,,37.7,,
2006-11-28,,,,37.7,,
2006-11-29,,,,37.7,,
2006-11-30,,,,37.7,,
2006-12-01,,,,37.7,,
2006-12-04,,,,37.96,,
2006-12-05,,,,37.96,,
2006-12-06,,,,37.96,,
2006-12-07,,,,37.96,,
2006-12-08,,,,37.96,,
2006-12-11,,,,37.96,,
2006-12-12,,,,37.96,,
2006-12-13,,,,37.96,,
2006-12-14,,,,37.96,,
2006-12-15,,,,37.96,,
2006-12-18,,,,38.05,,
2006-12-19,,,,38.05,,
2006-12-20,,,,38.05,,
2006-12-21,,,,38.05,,
2006-12-22,,,,38.05,,
2006-12-26,,,,38.05,,
2006-12-27,,,,47.12,,
2006-12-28,,,,47.12,,
2006-12-29,,,,47.12,,
2007-01-02,,,,47.25,,
2007-01-03,,,,47.25,,
2007-01-04,,,,47.25,,
2007-01-05,,,,47.25,,
2007-01-08,,,,47.25,,
2007-01-09,,,,47.25,,
2007-01-10,,,,47.25,,
2007-01-11,,,,47.25,,
2007-01-12,,,,47.25,,
2007-01-15,,,,47.69,,
2007-01-16,,,,47.69,,
2007-01-17,,,,47.69,,
2007-01-18,,,,47.69,,
2007-01-19,,,,47.95,,
2007-01-22,,,,48.54,,
2007-01-23,,,,48.54,,
2007-01-24,,,,48.54,,
2007-01-25,,,,48.54,,
2007-01-29,,,,48.54,,
2007-01-31,,,,48.54,,
2007-02-01,,,,49.86,,
2007-02-02,,,,49.86,,
2007-02-05,,,,49.86,,
2007-02-06,,,,50.31,,
2007-02-07,,,,50.31,,
2007-02-08,,,,50.31,,
2007-02-09,,,,50.31,,
2007-02-12,,,,50.31,,
2007-02-13,,,,50.93,,
2007-02-14,,,,51.18,,
2007-02-15,,,,51.18,,
2007-02-19,,,,51.56,,
2007-02-20,,,,51.56,,
2007-02-21,,,,51.8,,
2007-02-22,,,,51.8,,
2007-02-23,,,,51.8,,
2007-02-26,,,,51.8,,
2007-02-27,,,,51.8,,
2007-02-28,,,,51.8,,
2007-03-01,,,,51.8,,
2007-03-02,,,,51.8,,
2007-03-05,,,,51.8,,
2007-03-06,,,,51.8,,
2007-03-07,,,,51.9,,
2007-03-08,,,,51.9,,
2007-03-09,,,,52.33,,
2007-03-12,,,,52.33,,
2007-03-13,,,,52.33,,
2007-03-14,,,,53.41,,
2007-03-15,,,,54.18,,
2007-03-16,,,,54.99,,
2007-03-19,,,,54.99,,
2007-03-20,,,,54.99,,
