Date,Close,SharesTraded,Turnover
2006-12-29,1000.0,89082044.0,3546.25
2007-01-02,1013.82,74693747.0,2888.33
2007-01-03,1019.4,113489567.0,4777.45
2007-01-04,1014.53,113319656.0,4577.07
2007-01-05,1011.02,105410282.0,4437.12
2007-01-08,997.62,96848442.0,4283.25
2007-01-09,990.36,98629271.0,4357.79
2007-01-10,977.49,99293090.0,4509.2
2007-01-11,998.14,105087206.0,5045.61
2007-01-12,1018.32,118388572.0,5194.63
2007-01-15,1028.19,133220724.0,4844.91
2007-01-16,1030.3,154677468.0,4179.61
2007-01-17,1033.29,149497531.0,4259.38
2007-01-18,1038.26,145329712.0,5023.12
2007-01-19,1032.35,131987945.0,5314.53
2007-01-22,1033.54,97078023.0,4111.61
2007-01-23,1021.75,130867633.0,4240.36
2007-01-24,1024.73,156869847.0,4775.75
2007-01-25,1036.63,182010922.0,6883.7
2007-01-29,1036.08,125807659.0,4737.44
2007-01-31,1025.52,157897524.0,6224.78
2007-02-01,1036.27,124847716.0,4316.55
2007-02-02,1048.4,144784379.0,5448.88
2007-02-05,1055.57,111945223.0,4155.41
2007-02-06,1054.67,137061854.0,5019.73
2007-02-07,1061.21,122587793.0,4865.0
2007-02-08,1060.45,120609129.0,4348.19
2007-02-09,1046.4,108921977.0,4213.06
2007-02-12,1016.06,127296786.0,4653.87
2007-02-13,1009.72,139759574.0,5336.55
2007-02-14,1012.29,113937219.0,4718.25
2007-02-15,1040.81,117048760.0,4820.77
2007-02-19,1042.03,98661077.0,3780.25
2007-02-20,1029.72,98740002.0,4017.26
2007-02-21,1026.2,118948958.0,4445.43
2007-02-22,1014.01,176092830.0,7149.77
2007-02-23,990.87,138087341.0,5715.26
2007-02-26,992.14,129680343.0,5878.28
2007-02-27,985.9,112590766.0,4698.24
2007-02-28,945.26,205145837.0,8263.49
2007-03-01,958.47,163531910.0,6303.8
2007-03-02,938.02,134293989.0,5309.31
2007-03-05,896.84,152812706.0,5653.38
2007-03-06,915.57,155331124.0,5449.77
2007-03-07,907.16,137128539.0,5155.91
2007-03-08,940.61,127037404.0,4554.53
2007-03-09,929.9,149327672.0,4982.53
2007-03-12,934.3,111415688.0,4095.56
2007-03-13,943.74,117995993.0,4416.53
2007-03-14,915.94,116470060.0,4662.55
2007-03-15,925.01,100373633.0,4089.41
2007-03-16,916.55,82645182.0,3538.1
2007-03-19,932.28,65532451.0,2500.7
2007-03-20,937.28,88948106.0,3418.35
2007-03-21,948.23,93987011.0,3335.61
2007-03-22,969.03,113647128.0,4467.57
2007-03-23,969.06,111163104.0,4061.36
2007-03-26,961.14,81077584.0,3615.12
2007-03-28,945.77,111325069.0,4633.8
2007-03-29,952.13,133850157.0,5390.75
2007-03-30,962.74,100133771.0,3758.73
2007-04-02,920.38,91152632.0,3985.58
2007-04-03,932.53,92784061.0,3849.01
2007-04-04,942.29,124836104.0,4426.75
2007-04-05,946.13,110290502.0,3799.03
2007-04-09,967.98,96634510.0,3282.35
2007-04-10,967.44,109562954.0,4151.09
2007-04-11,970.56,136952450.0,4586.13
2007-04-12,968.15,102019115.0,3905.28
2007-04-13,989.13,130714209.0,5424.08
2007-04-16,1012.3,125189152.0,4898.89
2007-04-17,1004.5,123145165.0,5059.48
2007-04-18,1008.06,109559747.0,4250.86
2007-04-19,1004.51,107756686.0,4287.95
2007-04-20,1023.86,133468090.0,4964.74
2007-04-23,1027.12,141452036.0,4468.09
2007-04-24,1037.7,143926635.0,6027.49
2007-04-25,1041.37,142668700.0,6005.12
2007-04-26,1043.16,154551694.0,6805.58
2007-04-27,1023.79,114616736.0,4667.7
2007-04-30,1033.02,102288286.0,4320.01
2007-05-03,1048.99,119042221.0,5088.87
2007-05-04,1040.13,113536432.0,4378.58
2007-05-07,1037.36,101806795.0,3771.23
2007-05-08,1028.01,107161069.0,4375.56
2007-05-09,1028.62,99048729.0,4064.56
2007-05-10,1024.32,132896156.0,4475.44
2007-05-11,1025.62,132399072.0,4688.2
2007-05-14,1037.4,137831932.0,3571.16
2007-05-15,1033.17,177641956.0,4354.54
2007-05-16,1044.35,185752824.0,5491.87
2007-05-17,1056.2,165192232.0,6106.19
2007-05-18,1056.25,128405131.0,4358.38
2007-05-21,1063.17,149617118.0,4809.99
2007-05-22,1068.69,180866509.0,5674.47
2007-05-23,1062.53,168750973.0,5392.89
2007-05-24,1056.32,140600941.0,5016.28
2007-05-25,1066.41,154542508.0,5647.66
2007-05-28,1071.17,165869177.0,4904.95
2007-05-29,1082.88,148579532.0,5234.29
2007-05-30,1073.75,157975431.0,6105.76
2007-05-31,1082.73,187696996.0,6456.15
2007-06-01,1087.12,146585171.0,4771.37
2007-06-04,1076.58,135637608.0,4050.28
2007-06-05,1080.44,134825403.0,4282.98
2007-06-06,1062.86,163849860.0,5174.93
2007-06-07,1060.05,136910070.0,4739.21
2007-06-08,1050.62,136056906.0,5733.32
2007-06-11,1051.78,120316924.0,4483.89
2007-06-12,1052.08,128257419.0,4602.91
2007-06-13,1045.21,105845818.0,4148.68
2007-06-14,1062.31,107410370.0,4385.0
2007-06-15,1062.34,107367082.0,4038.22
2007-06-18,1055.46,95813699.0,3644.37
2007-06-19,1069.58,91972234.0,3909.6
2007-06-20,1079.16,132363271.0,5045.17
2007-06-21,1084.94,120156187.0,5223.87
2007-06-22,1082.15,121518153.0,4303.15
2007-06-25,1083.69,93937845.0,4069.64
2007-06-26,1088.72,91734470.0,3987.27
2007-06-27,1084.61,101654169.0,4364.91
2007-06-28,1089.0,174039075.0,6234.83
2007-06-29,1098.0,146805466.0,4951.71
2007-07-02,1102.28,147764399.0,5103.18
2007-07-03,1114.06,146378477.0,5141.71
2007-07-04,1117.47,137695558.0,5176.06
2007-07-05,1115.52,130558747.0,4794.54
2007-07-06,1126.3,127389898.0,5435.61
2007-07-09,1135.26,95781268.0,4473.57
2007-07-10,1133.43,156018346.0,5379.7
2007-07-11,1130.95,164043943.0,5892.83
2007-07-12,1144.19,183651802.0,7072.74
2007-07-13,1156.4,201994669.0,8461.38
